,Unnamed: 0.1,Unnamed: 0,filename,datetime,burst,burst_type,link,split,spectrogram_f,spectrogram_t
0,0,7264,FITfiles/2024-01-20/Beelink1_20240120_121507_01.fit,2024-01-20 12:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/20/ALASKA-ANCHORAGE_20240120_171500_01.fit.gz,valid,190.0,3600.0
1,1,7251,FITfiles/2024-01-20/Beelink1_20240120_123800_01.fit,2024-01-20 12:45:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/20/ALASKA-ANCHORAGE_20240120_174500_01.fit.gz,train,190.0,3600.0
2,2,7239,FITfiles/2024-01-20/Beelink1_20240120_125300_01.fit,2024-01-20 13:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/20/ALASKA-ANCHORAGE_20240120_180000_01.fit.gz,valid,190.0,3600.0
3,3,7225,FITfiles/2024-01-20/Beelink1_20240120_130800_01.fit,2024-01-20 13:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/20/ALASKA-ANCHORAGE_20240120_181500_01.fit.gz,valid,190.0,1807.0
4,4,4496,FITfiles/2024-01-21/Beelink1_20240121_141700_01.fit,2024-01-21 14:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_191500_01.fit.gz,valid,190.0,3600.0
5,5,4491,FITfiles/2024-01-21/Beelink1_20240121_143200_01.fit,2024-01-21 14:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_193000_01.fit.gz,train,190.0,3600.0
6,6,4492,FITfiles/2024-01-21/Beelink1_20240121_144700_01.fit,2024-01-21 14:45:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_194500_01.fit.gz,train,190.0,3600.0
7,7,4501,FITfiles/2024-01-21/Beelink1_20240121_150200_01.fit,2024-01-21 15:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_200000_01.fit.gz,train,190.0,3600.0
8,8,4494,FITfiles/2024-01-21/Beelink1_20240121_151700_01.fit,2024-01-21 15:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_201500_01.fit.gz,train,190.0,3040.0
9,9,4292,FITfiles/2024-01-21/Beelink1_20240121_153000_59.fit,2024-01-21 15:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/01/21/ALASKA-ANCHORAGE_20240121_203000_01.fit.gz,train,190.0,242.0
