,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,datetime,burst,burst_type,link,split,spectrogram_f,spectrogram_t
0,0,117,117,3720,FITfiles/2024-03-10/Beelink1_20240310_184500_59.fit,2024-03-10 18:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/03/10/ALASKA-ANCHORAGE_20240310_224500_01.fit.gz,train,190.0,3600.0
1,1,315,315,3244,FITfiles/2024-03-30/Beelink1_20240330_143000_59.fit,2024-03-30 14:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/03/30/ALASKA-COHOE_20240330_183000_63.fit.gz,test,190.0,3600.0
2,2,822,822,4429,FITfiles/2024-04-15/Beelink1_20240415_173000_59.fit,2024-04-15 17:30:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/15/ALASKA-ANCHORAGE_20240415_213000_01.fit.gz,test,190.0,3600.0
3,3,918,918,7839,FITfiles/2024-04-17/Beelink1_20240417_123000_59.fit,2024-04-17 12:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-ANCHORAGE_20240417_163000_01.fit.gz,valid,190.0,3600.0
4,4,919,919,7778,FITfiles/2024-04-17/Beelink1_20240417_124500_59.fit,2024-04-17 12:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-ANCHORAGE_20240417_164500_01.fit.gz,valid,190.0,3600.0
5,5,925,925,7777,FITfiles/2024-04-17/Beelink1_20240417_141500_59.fit,2024-04-17 14:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-ANCHORAGE_20240417_181500_01.fit.gz,valid,190.0,3590.0
6,6,932,932,7763,FITfiles/2024-04-17/Beelink1_20240417_160000_59.fit,2024-04-17 16:00:00,1,5,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-ANCHORAGE_20240417_200000_01.fit.gz,test,190.0,3600.0
7,7,945,945,7770,FITfiles/2024-04-17/Beelink1_20240417_191500_59.fit,2024-04-17 19:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-ANCHORAGE_20240417_231500_01.fit.gz,test,190.0,3600.0
8,8,978,978,7498,FITfiles/2024-04-18/Beelink1_20240418_130000_59.fit,2024-04-18 13:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/ALASKA-ANCHORAGE_20240418_170000_01.fit.gz,test,190.0,3600.0
9,9,1001,1001,7466,FITfiles/2024-04-18/Beelink1_20240418_184500_59.fit,2024-04-18 18:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/ALASKA-ANCHORAGE_20240418_224500_01.fit.gz,valid,190.0,3600.0
10,10,1004,1004,7470,FITfiles/2024-04-18/Beelink1_20240418_193000_59.fit,2024-04-18 19:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/ALASKA-ANCHORAGE_20240418_233000_01.fit.gz,test,190.0,3600.0
14,14,1026,1026,5331,FITfiles/2024-04-19/Beelink1_20240419_103000_59.fit,2024-04-19 10:30:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-HAARP_20240419_143000_62.fit.gz,train,190.0,3600.0
15,15,1027,1027,5323,FITfiles/2024-04-19/Beelink1_20240419_104500_59.fit,2024-04-19 10:45:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-HAARP_20240419_144500_62.fit.gz,train,190.0,3600.0
16,16,1028,1028,5317,FITfiles/2024-04-19/Beelink1_20240419_110000_59.fit,2024-04-19 11:00:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-COHOE_20240419_150000_62.fit.gz,test,190.0,3600.0
17,17,1034,1034,5308,FITfiles/2024-04-19/Beelink1_20240419_123000_59.fit,2024-04-19 12:30:00,1,7,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_163000_01.fit.gz,valid,190.0,3600.0
18,18,1037,1037,5305,FITfiles/2024-04-19/Beelink1_20240419_131500_59.fit,2024-04-19 13:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_171500_01.fit.gz,test,190.0,3600.0
19,19,1039,1039,5314,FITfiles/2024-04-19/Beelink1_20240419_134500_59.fit,2024-04-19 13:45:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_174500_01.fit.gz,test,190.0,3600.0
20,20,1040,1040,5303,FITfiles/2024-04-19/Beelink1_20240419_140000_59.fit,2024-04-19 14:00:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_180000_01.fit.gz,test,190.0,3600.0
21,21,1042,1042,5302,FITfiles/2024-04-19/Beelink1_20240419_143332_59.fit,2024-04-19 14:30:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_183000_01.fit.gz,train,190.0,3600.0
22,22,1043,1043,5304,FITfiles/2024-04-19/Beelink1_20240419_144832_59.fit,2024-04-19 14:45:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_184500_01.fit.gz,test,190.0,3600.0
23,23,1044,1044,5297,FITfiles/2024-04-19/Beelink1_20240419_150332_59.fit,2024-04-19 15:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_190000_01.fit.gz,test,190.0,3600.0
24,24,1045,1045,5293,FITfiles/2024-04-19/Beelink1_20240419_151831_59.fit,2024-04-19 15:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_191500_01.fit.gz,test,190.0,3600.0
25,25,1051,1051,5289,FITfiles/2024-04-19/Beelink1_20240419_164500_59.fit,2024-04-19 16:45:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_204500_01.fit.gz,valid,190.0,3600.0
26,26,1053,1053,5291,FITfiles/2024-04-19/Beelink1_20240419_171500_59.fit,2024-04-19 17:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_211500_01.fit.gz,valid,190.0,3600.0
