Unnamed: 0,filename,datetime,burst,burst_type,initial_mse,link,split,spectrogram_f,spectrogram_t
7264,FITfiles/2024-01-20/Beelink1_20240120_121507_01.fit,2024-01-20 12:15:07,0,0,, ,train,190.0,3600.0
7251,FITfiles/2024-01-20/Beelink1_20240120_123800_01.fit,2024-01-20 12:38:00,0,0,, ,train,190.0,3600.0
7239,FITfiles/2024-01-20/Beelink1_20240120_125300_01.fit,2024-01-20 12:53:00,0,0,, ,valid,190.0,3600.0
7225,FITfiles/2024-01-20/Beelink1_20240120_130800_01.fit,2024-01-20 13:08:00,0,0,, ,test,190.0,1807.0
4496,FITfiles/2024-01-21/Beelink1_20240121_141700_01.fit,2024-01-21 14:17:00,0,0,, ,train,190.0,3600.0
4491,FITfiles/2024-01-21/Beelink1_20240121_143200_01.fit,2024-01-21 14:32:00,0,0,, ,train,190.0,3600.0
4492,FITfiles/2024-01-21/Beelink1_20240121_144700_01.fit,2024-01-21 14:47:00,0,0,, ,test,190.0,3600.0
4501,FITfiles/2024-01-21/Beelink1_20240121_150200_01.fit,2024-01-21 15:02:00,0,0,, ,train,190.0,3600.0
4494,FITfiles/2024-01-21/Beelink1_20240121_151700_01.fit,2024-01-21 15:17:00,0,0,, ,train,190.0,3040.0
4292,FITfiles/2024-01-21/Beelink1_20240121_153000_59.fit,2024-01-21 15:30:00,0,0,, ,valid,190.0,242.0
4288,FITfiles/2024-01-21/Beelink1_20240121_161100_01.fit,2024-01-21 16:11:00,0,0,, ,train,190.0,377.0
4473,FITfiles/2024-01-21/Beelink1_20240121_164540_01.fit,2024-01-21 16:45:40,0,0,, ,valid,190.0,498.0
4497,FITfiles/2024-01-21/Beelink1_20240121_173000_59.fit,2024-01-21 17:30:00,0,0,, ,test,190.0,3600.0
4287,FITfiles/2024-01-21/Beelink1_20240121_174500_59.fit,2024-01-21 17:45:00,0,0,, ,train,190.0,1460.0
4469,FITfiles/2024-01-21/Beelink1_20240121_180100_01.fit,2024-01-21 18:01:00,0,0,, ,train,190.0,298.0
