,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,datetime,burst,burst_type,initial_mse,link,split,spectrogram_f,spectrogram_t
0,0,117,3720,FITfiles/2024-03-10/Beelink1_20240310_184500_59.fit,2024-03-10 18:45:00,1,3,11684.76171875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/03/10/ALASKA-HAARP_20240310_224500_63.fit.gz,train,190.0,3600.0
1,1,315,3244,FITfiles/2024-03-30/Beelink1_20240330_143000_59.fit,2024-03-30 14:30:00,1,3,11666.640625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/03/30/MEXICO-LANCE-B_20240330_183000_62.fit.gz,train,190.0,3600.0
2,2,822,4429,FITfiles/2024-04-15/Beelink1_20240415_173000_59.fit,2024-04-15 17:30:00,1,6,21727.822265625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/15/ALASKA-HAARP_20240415_213000_63.fit.gz,train,190.0,3600.0
3,3,918,7839,FITfiles/2024-04-17/Beelink1_20240417_123000_59.fit,2024-04-17 12:30:00,1,3,22240.005859375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-HAARP_20240417_163000_63.fit.gz,test,190.0,3600.0
4,4,919,7778,FITfiles/2024-04-17/Beelink1_20240417_124500_59.fit,2024-04-17 12:45:00,1,3,22182.41015625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-HAARP_20240417_164500_63.fit.gz,test,190.0,3600.0
5,5,925,7777,FITfiles/2024-04-17/Beelink1_20240417_141500_59.fit,2024-04-17 14:15:00,1,6,21997.982421875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-HAARP_20240417_181500_63.fit.gz,valid,190.0,3590.0
6,6,932,7763,FITfiles/2024-04-17/Beelink1_20240417_160000_59.fit,2024-04-17 16:00:00,1,5,22425.427734375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/MEXICO-LANCE-B_20240417_200000_62.fit.gz,train,190.0,3600.0
7,7,945,7770,FITfiles/2024-04-17/Beelink1_20240417_191500_59.fit,2024-04-17 19:15:00,1,6,22424.001953125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/17/ALASKA-HAARP_20240417_231500_63.fit.gz,train,190.0,3600.0
8,8,978,7498,FITfiles/2024-04-18/Beelink1_20240418_130000_59.fit,2024-04-18 13:00:00,1,3,22271.1015625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/USA-BOSTON_20240418_170000_63.fit.gz,train,190.0,3600.0
9,9,1001,7466,FITfiles/2024-04-18/Beelink1_20240418_184500_59.fit,2024-04-18 18:45:00,1,3,22386.48046875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/USA-BOSTON_20240418_224500_63.fit.gz,valid,190.0,3600.0
10,10,1004,7470,FITfiles/2024-04-18/Beelink1_20240418_193000_59.fit,2024-04-18 19:30:00,1,3,22415.201171875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/18/ALASKA-HAARP_20240418_233000_63.fit.gz,train,190.0,3600.0
11,11,1020,5319,FITfiles/2024-04-19/Beelink1_20240419_090000_59.fit,2024-04-19 09:00:00,1,6,22509.0546875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_130000_62.fit.gz,test,190.0,3600.0
