,matched_bursts,unmatched_nonbursts
ALASKA-COHOE,53,0
ALASKA-HAARP,52,0
Australia-ASSA,9,0
MEXICO-LANCE,47,0
BIR,47,0
GREENLAND,58,0
MEXART,42,0
MEXICO-FCFM-UANL,16,0
ROSWELL-NM,28,0
USA-ARIZONA-ERAU,4,0
ALASKA-ANCHORAGE,33,0
(USA-ARIZONA-ERAU),1,0
ALGERIA-CRAAG,27,0
AUSTRIA-UNIGRAZ,23,0
GERMANY-DLR,40,0
GLASGOW,18,0
HUMAIN,30,0
MRO,31,0
SPAIN-PERALEJOS,20,0
SWISS-HEITERSWIL,40,0
SWISS-Landschlacht,39,0
SWISS-MUHEN,36,0
USA-BOSTON,41,0
KASI,4,0
MONGOLIA-UB,3,0
AUSTRIA-OE3FLB,17,0
EGYPT-Alexandria,22,0
FINLAND-Siuntio,12,0
Finland-Kempele,8,0
HURBANOVO,6,0
SWISS-HB9SCT,12,0
SWISS-IRSOL,10,0
TRIEST,19,0
SPAIN-SIGUENZA,1,0
ALMATY,3,0
INDIA-OOTY,3,0
SRI-Lanka,2,0
INDIA-GAURI,2,0
(POLAND-Grotniki),1,0
(Australia-ASSA),1,0
(MEXART),1,0
(ROSWELL-NM),2,0
(ALASKA-ANCHORAGE),1,0
AUSTRIA-Krumbach,3,0
AUSTRIA-MICHELBACH,5,0
EGYPT-SpaceAgency,5,0
ROMANIA,5,0
(SWISS-MUHEN),1,0
INDIA-UDAIPUR,2,0
NORWAY-EGERSUND,18,0
URUGUAY,1,0
(USA-BOSTON),1,0
MEXICO-FCFM-UAN,1,0
*,10,0
(BIR),1,0
(MEXICO-LANCE),1,0
(TRIEST),1,0
(Malaysia-Banting),1,0
TAIWAN-NCU,1,0
