height,width,area,max_row,min_row,mean,median,hw_ratio,burst
35,71,2485,103,68,0.7000183332185804,0.43305189869203764,0.49295774647887325,1
23,68,1564,164,141,0.9546862525106257,0.3660844050891876,0.3382352941176471,1
25,34,850,133,108,0.5280306693134608,0.3287864318818732,0.7352941176470589,0
21,92,1932,107,86,0.46526954941884235,0.13983165954350021,0.22826086956521738,0
16,49,784,106,90,0.537849698771463,0.258783485549124,0.32653061224489793,0
31,143,4433,109,78,0.5333258214786544,0.20593635028363674,0.21678321678321677,0
23,159,3657,129,106,0.7173958392279517,0.6546092036149123,0.14465408805031446,0
17,96,1632,149,132,0.6509485960730721,0.13502896621103994,0.17708333333333334,0
16,105,1680,105,89,0.6045567293152938,0.5227402210157894,0.1523809523809524,0
19,49,931,119,100,0.5497226838811035,0.24311735433784673,0.3877551020408163,0
18,48,864,105,87,0.5643620506023476,0.25464588751065,0.375,0
28,80,2240,114,86,0.5614805658313974,0.2140916484666527,0.35,0
32,217,6944,129,97,0.5662722139865282,0.4358005881690699,0.14746543778801843,0
11,57,627,126,115,0.6315872531182515,0.6210368420709943,0.19298245614035087,0
12,57,684,127,115,0.5968619141192748,0.5818339928724542,0.21052631578947367,0
27,107,2889,116,89,0.6552231591404436,0.364306691908576,0.2523364485981308,0
11,66,726,128,117,0.6779651807861977,0.6328992524956507,0.16666666666666666,0
25,77,1925,105,80,0.5505919603925085,0.23638780994087752,0.3246753246753247,0
14,60,840,135,121,0.7034144378393867,0.19092685849491303,0.23333333333333334,0
16,41,656,111,95,0.617128559695993,0.3054272621338029,0.3902439024390244,0
34,148,5032,114,80,0.6769781011067899,0.34629338400861864,0.22972972972972974,0
24,130,3120,101,77,0.5824502293484831,0.322510408272977,0.18461538461538463,0
12,62,744,123,111,0.6259665993523558,0.4301178795918559,0.1935483870967742,0
32,155,4960,104,72,0.6578572968375871,0.49676888659980095,0.2064516129032258,0
18,51,918,149,131,0.7248065562295344,0.0,0.35294117647058826,0
12,53,636,128,116,0.6837146382000031,0.5531391654817747,0.22641509433962265,0
34,581,19754,103,69,0.5896919852678002,0.29713260319619383,0.058519793459552494,0
53,142,7526,124,71,0.614506569193346,0.36657982928079125,0.3732394366197183,0
13,61,793,128,115,0.729614530313354,0.8207661788493175,0.21311475409836064,0
31,100,3100,102,71,0.6200882316068242,0.4555867682705415,0.31,0
17,55,935,115,98,0.6752962353040102,0.18369217109029287,0.3090909090909091,0
20,121,2420,102,82,0.5776896634961176,0.3060130741788421,0.1652892561983471,0
83,237,19671,113,30,0.6648754243185927,0.4261766015893003,0.350210970464135,0
12,53,636,123,111,0.7876484081968566,0.4222559316492419,0.22641509433962265,0
18,84,1512,126,108,0.766165198074207,0.4868157378750599,0.21428571428571427,0
13,80,1040,122,109,0.5897726988009999,0.34787624377469745,0.1625,0
11,73,803,129,118,0.7557709187622798,0.6767702366691445,0.1506849315068493,0
19,82,1558,116,97,0.7797036542650149,0.17046495793119162,0.23170731707317074,0
25,127,3175,116,91,0.6522147637803679,0.1374030913346083,0.1968503937007874,0
12,70,840,130,118,0.6329471735272635,0.4239737144445338,0.17142857142857143,0
36,160,5760,123,87,0.47367953034487287,0.008304834363902844,0.225,0
29,102,2958,115,86,0.5758791611827224,0.23919137671443752,0.28431372549019607,0
14,76,1064,126,112,0.7521011756368298,0.642095788478073,0.18421052631578946,0
71,142,10082,102,31,0.749911072486818,0.5437620154424387,0.5,0
93,196,18228,124,31,0.5527113208616848,0.20884196210251166,0.4744897959183674,0
37,48,1776,124,87,0.9179021473868547,0.28087152960284506,0.7708333333333334,0
16,63,1008,114,98,1.1487892624127611,0.1817762775829523,0.25396825396825395,0
11,55,605,127,116,0.8647078821260695,0.8160396981751795,0.2,0
11,64,704,127,116,0.7496402470487454,0.6758677963547951,0.171875,0
30,126,3780,103,73,0.8289838309348244,0.5639867991726093,0.23809523809523808,0
32,92,2944,121,89,0.9263675827162837,0.17924521654915923,0.34782608695652173,0
27,85,2295,116,89,0.9588215836561055,0.32014256071926345,0.3176470588235294,0
12,56,672,118,106,0.9100769616082212,0.35759447487908036,0.21428571428571427,0
13,50,650,123,110,0.659914344574397,0.31371773201934766,0.26,0
10,65,650,101,91,0.5955929861596712,0.2300623134811093,0.15384615384615385,0
15,62,930,102,87,0.5599412471767121,0.22307556523166167,0.24193548387096775,0
16,105,1680,101,85,0.6053111641980246,0.34869371987147213,0.1523809523809524,0
12,54,648,122,110,0.546647848909969,0.3053251213848155,0.2222222222222222,0
32,78,2496,106,74,0.5401161707572274,0.2446018682352815,0.41025641025641024,0
12,55,660,97,85,0.5650214105777376,0.38779340698795434,0.21818181818181817,0
87,132,11484,117,30,0.6976104325188395,0.5425354964728066,0.6590909090909091,0
74,218,16132,104,30,0.5852506563369969,0.37809840698247044,0.3394495412844037,0
18,99,1782,131,113,0.5807291441855917,0.5083947602531953,0.18181818181818182,0
59,434,25606,131,72,0.5613707778865594,0.4426552814768373,0.1359447004608295,0
22,149,3278,131,109,0.6784531408082333,0.6858484980104312,0.1476510067114094,0
13,85,1105,124,111,0.6195979864734616,0.5998273022033321,0.15294117647058825,0
31,786,24366,130,99,0.9061143469232115,0.937455326043967,0.039440203562340966,0
72,273,19656,102,30,0.7680340283972764,0.6717017263899492,0.26373626373626374,0
14,71,994,101,87,0.7356000659853915,0.5261923491048204,0.19718309859154928,0
18,128,2304,129,111,0.6140789315503927,0.5576184537589499,0.140625,0
11,76,836,121,110,0.8278237100410722,0.5175929387946937,0.14473684210526316,0
15,82,1230,101,86,0.751829627763797,0.5385461775567167,0.18292682926829268,0
12,54,648,123,111,0.7586391138879974,0.5051682137698491,0.2222222222222222,0
44,248,10912,131,87,0.7085820066599767,0.5792562314504259,0.1774193548387097,0
70,188,13160,101,31,0.9452960142613338,0.837265608787696,0.3723404255319149,0
72,139,10008,102,30,0.7431398191945712,0.5807681985068831,0.5179856115107914,0
72,165,11880,102,30,0.9354555797289098,0.7895698685469692,0.43636363636363634,0
72,87,6264,102,30,0.8012839691973621,0.6446778954881882,0.8275862068965517,0
14,71,994,124,110,0.7424415852286268,0.5387394556909196,0.19718309859154928,0
76,78,5928,106,30,0.6416718409464257,0.49101433926725596,0.9743589743589743,0
73,203,14819,103,30,0.7160528012100846,0.5709860949703035,0.35960591133004927,0
69,275,18975,100,31,0.6823443498222937,0.5740268236434525,0.2509090909090909,0
35,275,9625,100,65,0.5183284965999586,0.2168689402508395,0.12727272727272726,0
36,178,6408,104,68,0.5309663874636945,0.2049008498661674,0.20224719101123595,0
42,322,13524,111,69,0.5603375266580027,0.38366255977913705,0.13043478260869565,0
22,55,1210,120,98,0.7223654132496306,0.07858365474649091,0.4,0
41,260,10660,111,70,0.5500377555997266,0.34493680726790027,0.1576923076923077,0
19,62,1178,120,101,0.7124642543089698,0.2236343234737059,0.3064516129032258,0
17,74,1258,127,110,0.5776357189096152,0.42972354675459024,0.22972972972972974,0
80,179,14320,111,31,0.5138540731694755,0.2565475939048064,0.44692737430167595,0
13,67,871,121,108,0.7370515816110258,0.36358009081678694,0.19402985074626866,0
34,373,12682,103,69,0.4980539194893764,0.20870722965918245,0.09115281501340483,0
123,316,38868,187,64,1.4181697413959735,0.9793736385734239,0.38924050632911394,0
123,316,38868,187,64,1.4181697413959735,0.9793736385734239,0.38924050632911394,1
17,37,629,158,141,0.4489398196070283,0.0,0.4594594594594595,0
43,764,32852,101,58,0.4894699152338631,0.2881581593617152,0.056282722513089,0
10,61,610,95,85,0.5362071724630816,0.26030002235702027,0.16393442622950818,0
36,335,12060,104,68,0.6152169658083597,0.419252595402517,0.10746268656716418,0
13,63,819,91,78,0.5217929486847933,0.3077397280784176,0.20634920634920634,0
45,388,17460,76,31,0.5477270094090558,0.26514771762188005,0.11597938144329897,0
54,134,7236,108,54,0.6470158331785275,0.3262472735341605,0.40298507462686567,0
25,62,1550,127,102,0.6235466865012963,0.28299853629559474,0.4032258064516129,0
64,127,8128,133,69,0.4947023794330842,0.19606322392904313,0.5039370078740157,0
23,43,989,109,86,0.5173296719420285,0.22320653155145012,0.5348837209302325,0
31,101,3131,117,86,0.8147508402815308,0.18958574839762288,0.3069306930693069,0
13,92,1196,186,173,0.6171759460301152,0.12042714838942781,0.14130434782608695,0
20,91,1820,109,89,0.5025853350034266,0.1460081479325423,0.21978021978021978,0
46,280,12880,120,74,0.4443487223589689,0.051214034548511506,0.16428571428571428,0
83,369,30627,113,30,0.4577084282008238,0.0778355532401762,0.22493224932249323,0
15,93,1395,65,50,0.5087951629608887,0.3439833495417534,0.16129032258064516,0
13,62,806,125,112,0.5360795786295843,0.24333308346706464,0.20967741935483872,0
16,58,928,48,32,0.5101231172652096,0.3393231201851488,0.27586206896551724,0
15,85,1275,101,86,0.5756359290873871,0.4250009417407414,0.17647058823529413,0
10,63,630,132,122,0.5340198352364299,0.43312799938909696,0.15873015873015872,0
38,87,3306,110,72,0.45283473857945017,0.14439482861929276,0.4367816091954023,0
17,119,2023,103,86,0.4785890346764082,0.11217589035592163,0.14285714285714285,0
60,85,5100,118,58,0.5213144365157761,0.24564678561808836,0.7058823529411765,0
22,72,1584,122,100,0.5973059489801982,0.257179754978377,0.3055555555555556,0
29,68,1972,131,102,0.4872952869917837,0.28379738918994635,0.4264705882352941,0
34,37,1258,176,142,0.489000354355292,0.2882577041954438,0.918918918918919,0
13,52,676,154,141,0.44944478990816217,0.060169621938111185,0.25,0
13,87,1131,56,43,0.5012403187203136,0.2855624119251023,0.14942528735632185,0
0,0,0,0,0,0.0,0.0,0.0,0
24,91,2184,66,42,0.4943240092834149,0.23863024681595846,0.26373626373626374,0
12,58,696,187,175,0.6612165458339003,0.03048830373562267,0.20689655172413793,0
34,756,25704,69,35,0.5786654828025093,0.3361887846004827,0.04497354497354497,0
33,837,27621,65,32,0.5613189699895234,0.3219956591732957,0.03942652329749104,0
13,87,1131,76,63,0.5175915608229797,0.3065493444425669,0.14942528735632185,0
35,458,16030,69,34,0.49025450176287916,0.16000664767376527,0.07641921397379912,0
36,490,17640,69,33,0.5407001306611188,0.2949245334643752,0.07346938775510205,0
13,49,637,159,146,0.47444758440134155,0.07636187781219235,0.2653061224489796,0
36,1004,36144,69,33,0.6466688476059812,0.48355322459754896,0.035856573705179286,0
19,124,2356,139,120,0.488884903659861,0.15313725664093528,0.1532258064516129,0
0,0,0,0,0,0.0,0.0,0.0,0
24,107,2568,187,163,0.6039842748133564,0.0,0.22429906542056074,0
13,78,1014,165,152,0.7208493400010251,0.27470755284347237,0.16666666666666666,0
21,64,1344,64,43,0.5073898497779393,0.14715734835035835,0.328125,0
12,59,708,187,175,0.6873409014275509,0.02743758660821358,0.2033898305084746,0
11,60,660,55,44,0.5081469409534173,0.217416107156719,0.18333333333333332,0
21,90,1890,156,135,0.6146541312580939,0.037808758968951875,0.23333333333333334,0
18,118,2124,63,45,0.5601437837454422,0.23522566379865012,0.15254237288135594,0
11,60,660,54,43,0.5087163544659072,0.32093447592438523,0.18333333333333332,0
38,24,912,187,149,0.44416542354737104,0.0,1.5833333333333333,0
21,59,1239,124,103,0.6180351247316248,0.2145552757619538,0.3559322033898305,0
15,83,1245,126,111,0.5733298872838727,0.15771409568420774,0.18072289156626506,0
17,54,918,134,117,0.6920715630699213,0.07907010145497967,0.3148148148148148,0
22,91,2002,55,33,0.5183937519901618,0.21459216500549194,0.24175824175824176,0
20,68,1360,123,103,0.5552440534958657,0.04663944524696292,0.29411764705882354,0
26,109,2834,57,31,0.6213026258841999,0.357289177844315,0.23853211009174313,0
15,71,1065,131,116,0.7372910924851518,0.07335352436233557,0.2112676056338028,0
16,56,896,98,82,0.7108137560169787,0.5030373672346568,0.2857142857142857,0
13,88,1144,124,111,0.655411437806594,0.18489431000748435,0.14772727272727273,0
19,87,1653,55,36,0.6277489686078597,0.38861103756721727,0.21839080459770116,0
25,114,2850,56,31,0.5773264898310678,0.294176421777491,0.21929824561403508,0
13,90,1170,95,82,0.6552993576359117,0.4473662309647489,0.14444444444444443,0
13,59,767,154,141,0.7245439338298341,0.04953612522600673,0.22033898305084745,0
11,70,770,86,75,0.6682442712170323,0.41799797146254214,0.15714285714285714,0
19,71,1349,128,109,0.6783467496108823,0.20082595808694825,0.2676056338028169,0
31,119,3689,69,38,0.6284248265332049,0.25147565758509544,0.2605042016806723,0
20,96,1920,52,32,0.6539654479363985,0.4365484931797931,0.20833333333333334,0
18,67,1206,129,111,0.5047049972749179,0.05680255401766805,0.26865671641791045,0
21,78,1638,54,33,0.6385466475122321,0.1777229334828494,0.2692307692307692,0
14,75,1050,155,141,0.6273412783891376,0.1811693110374226,0.18666666666666668,0
11,71,781,56,45,0.6537307454292987,0.38979858287869146,0.15492957746478872,0
12,73,876,177,165,0.7922110877148433,0.0,0.1643835616438356,0
0,0,0,0,0,0.0,0.0,0.0,0
20,105,2100,53,33,0.5959796296701579,0.26789537070497366,0.19047619047619047,0
10,68,680,112,102,0.6668672943909202,0.24456256823018024,0.14705882352941177,0
12,56,672,55,43,0.588362224218974,0.32967049917091934,0.21428571428571427,0
12,51,612,187,175,0.6586333707447549,0.00040242836798958436,0.23529411764705882,0
14,77,1078,49,35,0.691115695347214,0.4396169921188245,0.18181818181818182,0
0,0,0,0,0,0.0,0.0,0.0,0
11,64,704,83,72,1.1638405446001112,0.9379867586452474,0.171875,0
0,0,0,0,0,0.0,0.0,0.0,0
0,0,0,0,0,0.0,0.0,0.0,0
13,72,936,149,136,0.748346733708264,0.228068561407505,0.18055555555555555,0
12,85,1020,182,170,0.6063412057756219,0.0,0.1411764705882353,0
95,152,14440,187,92,0.8306747461696531,0.5953435390518385,0.625,1
29,66,1914,178,149,0.5546053887007747,0.33065789333003764,0.4393939393939394,0
31,299,9269,64,33,0.5057394145391236,0.25297744538108635,0.10367892976588629,0
21,94,1974,65,44,0.5574071819971916,0.3063612156463242,0.22340425531914893,0
42,140,5880,176,134,0.8322949171668561,0.25771186157131226,0.3,0
54,85,4590,187,133,0.3494785384327665,0.0,0.6352941176470588,0
11,56,616,187,176,0.6104782952043905,0.0,0.19642857142857142,0
20,60,1200,67,47,0.4383658775419048,0.16900101484514257,0.3333333333333333,0
24,118,2832,67,43,0.4407457248337498,0.08135962855523055,0.2033898305084746,0
23,46,1058,164,141,0.46980171922544745,0.10412832024878545,0.5,0
17,51,867,115,98,0.6031446752395557,0.0,0.3333333333333333,0
23,57,1311,151,128,0.4915908987478413,0.08419723861193205,0.40350877192982454,0
21,43,903,172,151,0.43457099782410674,0.0,0.4883720930232558,0
12,65,780,122,110,0.531611321771692,0.16236856941897124,0.18461538461538463,0
0,0,0,0,0,0.0,0.0,0.0,0
10,71,710,155,145,0.8933189731586458,0.1770729375206498,0.14084507042253522,0
12,83,996,55,43,0.6016951356006933,0.30766961911927976,0.14457831325301204,0
18,77,1386,115,97,0.5739445212444779,0.03772913389522511,0.23376623376623376,0
21,118,2478,131,110,0.6667607951151273,0.5028035100049918,0.17796610169491525,0
15,64,960,123,108,0.5617674473163443,0.1159548895494946,0.234375,0
14,75,1050,124,110,0.4882779482874966,0.07483323500460548,0.18666666666666668,0
19,90,1710,115,96,0.6315993276463111,0.10247998450864057,0.2111111111111111,0
14,58,812,131,117,0.66234371901469,0.22799933752609766,0.2413793103448276,0
18,113,2034,51,33,0.5575714027038009,0.2668738674805903,0.1592920353982301,0
21,44,924,172,151,0.45070587434954723,0.0,0.4772727272727273,0
14,68,952,177,163,0.49873511329248604,0.0,0.20588235294117646,0
12,72,864,121,109,0.46519555499245324,0.0,0.16666666666666666,0
10,61,610,155,145,0.8051189309704796,0.3201743881931053,0.16393442622950818,0
23,107,2461,66,43,0.5842049395815903,0.365102916338909,0.21495327102803738,0
11,69,759,54,43,0.5289046869350298,0.37102446620739893,0.15942028985507245,0
15,61,915,125,110,0.5504122562402622,0.054501170796048645,0.2459016393442623,0
14,97,1358,56,42,0.5985966980423584,0.5386326859006061,0.14432989690721648,0
15,75,1125,131,116,0.5867056772837845,0.18760671421411565,0.2,0
18,51,918,55,37,0.5762622460212388,0.24824992567300128,0.35294117647058826,0
24,65,1560,132,108,0.8221567511610383,0.05147836924563199,0.36923076923076925,0
18,50,900,128,110,0.5214741090437607,0.18832991418536732,0.36,0
29,77,2233,67,38,0.4837360923640461,0.14438494316051503,0.37662337662337664,0
11,57,627,151,140,0.8069136145003746,0.25945712293375683,0.19298245614035087,0
11,67,737,123,112,0.8775818844666704,0.09825540321983686,0.16417910447761194,0
14,96,1344,178,164,0.671789480729377,0.027852875882849785,0.14583333333333334,0
11,63,693,121,110,0.5417090316754711,0.01287367654359298,0.1746031746031746,0
16,58,928,128,112,0.7327794287917939,0.025676101939222273,0.27586206896551724,0
13,81,1053,123,110,0.6427656579196538,0.31470593440208183,0.16049382716049382,0
11,65,715,122,111,0.9211557321247456,0.2405881133046953,0.16923076923076924,0
15,63,945,55,40,0.5150222069701448,0.23369969250007058,0.23809523809523808,0
16,99,1584,69,53,0.529425101379096,0.15619171998394327,0.16161616161616163,0
15,78,1170,125,110,0.5821029118995952,0.18437885613786684,0.19230769230769232,0
15,77,1155,56,41,0.5548372082739152,0.41072474240584844,0.19480519480519481,0
15,99,1485,56,41,0.5754510296443095,0.23755036204729027,0.15151515151515152,0
14,86,1204,187,173,0.7412111149924541,0.09270949479922386,0.16279069767441862,0
16,83,1328,126,110,0.539978541152358,0.051729084180142645,0.1927710843373494,0
20,41,820,174,154,0.4874717887533864,0.0,0.4878048780487805,0
17,82,1394,57,40,0.5675358827269233,0.5289229643697454,0.2073170731707317,0
37,169,6253,69,32,0.5390760289098998,0.30697297712048166,0.21893491124260356,0
23,160,3680,63,40,0.4670304091572735,0.177359031857231,0.14375,0
15,101,1515,80,65,0.6427466031927301,0.5636951224714838,0.1485148514851485,0
15,48,720,48,33,0.529801047875075,0.2870040360400229,0.3125,0
